data,estacao,esforco,n.de.cameras,lados,modelo,obs
26/03/2015,AFV09,1,1,D,Bushnell,Cartão da Camera E sem fotos
27/03/2015,AFV09,1,1,D,Bushnell,Cartão da Camera E sem fotos
28/03/2015,AFV09,1,1,D,Bushnell,Cartão da Camera E sem fotos
29/03/2015,AFV09,1,1,D,Bushnell,Cartão da Camera E sem fotos
30/03/2015,AFV09,1,1,D,Bushnell,Cartão da Camera E sem fotos
31/03/2015,AFV09,1,2,ED,Bushnell,_
01/04/2015,AFV09,1,2,ED,Bushnell,_
02/04/2015,AFV09,1,2,ED,Bushnell,_
03/04/2015,AFV09,1,2,ED,Bushnell,_
04/04/2015,AFV09,1,2,ED,Bushnell,_
05/04/2015,AFV09,1,2,ED,Bushnell,_
06/04/2015,AFV09,1,2,ED,Bushnell,_
07/04/2015,AFV09,1,2,ED,Bushnell,_
08/04/2015,AFV09,1,2,ED,Bushnell,_
09/04/2015,AFV09,1,2,ED,Bushnell,_
10/04/2015,AFV09,1,2,ED,Bushnell,_
11/04/2015,AFV09,1,2,ED,Bushnell,_
12/04/2015,AFV09,1,2,ED,Bushnell,_
13/04/2015,AFV09,1,2,ED,Bushnell,_
13/03/2015,AFV10a,1,1,D,Bushnell,_
14/03/2015,AFV10a,1,1,D,Bushnell,_
15/03/2015,AFV10a,1,1,D,Bushnell,_
16/03/2015,AFV10a,1,1,D,Bushnell,_
17/03/2015,AFV10a,1,1,D,Bushnell,_
18/03/2015,AFV10a,1,1,D,Bushnell,_
19/03/2015,AFV10a,1,1,D,Bushnell,_
20/03/2015,AFV10a,1,2,ED,Bushnell,_
21/03/2015,AFV10a,1,2,ED,Bushnell,_
22/03/2015,AFV10a,1,2,ED,Bushnell,_
23/03/2015,AFV10a,1,2,ED,Bushnell,_
24/03/2015,AFV10a,1,2,ED,Bushnell,_
25/03/2015,AFV10a,1,2,ED,Bushnell,_
26/03/2015,AFV10a,1,2,ED,Bushnell,_
27/03/2015,AFV10a,1,2,ED,Bushnell,_
28/03/2015,AFV10a,1,2,ED,Bushnell,_
29/03/2015,AFV10a,1,2,ED,Bushnell,_
30/03/2015,AFV10a,1,2,ED,Bushnell,_
31/03/2015,AFV10a,1,2,ED,Bushnell,_
01/04/2015,AFV10a,1,1,D,Bushnell,_
02/04/2015,AFV10a,1,1,D,Bushnell,_
03/04/2015,AFV10a,1,1,D,Bushnell,_
04/04/2015,AFV10a,1,1,D,Bushnell,_
05/04/2015,AFV10a,1,1,D,Bushnell,_
06/04/2015,AFV10a,1,1,D,Bushnell,_
07/04/2015,AFV10a,1,1,D,Bushnell,_
08/04/2015,AFV10a,1,1,D,Bushnell,_
09/04/2015,AFV10a,1,1,D,Bushnell,_
10/04/2015,AFV10a,1,1,D,Bushnell,_
11/04/2015,AFV10a,1,1,D,Bushnell,_
12/04/2015,AFV10a,1,1,D,Bushnell,_
13/04/2015,AFV10a,1,1,D,Bushnell,_
13/03/2015,AFV11,1,1,D,Bushnell,Câmera E com defeito
14/03/2015,AFV11,1,1,D,Bushnell,Câmera E com defeito
15/03/2015,AFV11,1,1,D,Bushnell,Câmera E com defeito
16/03/2015,AFV11,1,1,D,Bushnell,Câmera E com defeito
17/03/2015,AFV11,1,1,D,Bushnell,Câmera E com defeito
18/03/2015,AFV11,1,1,D,Bushnell,Câmera E com defeito
19/03/2015,AFV11,1,1,D,Bushnell,Câmera E com defeito
20/03/2015,AFV11,1,2,ED,Bushnell,_
21/03/2015,AFV11,1,2,ED,Bushnell,_
22/03/2015,AFV11,1,2,ED,Bushnell,_
23/03/2015,AFV11,1,2,ED,Bushnell,_
24/03/2015,AFV11,1,2,ED,Bushnell,_
25/03/2015,AFV11,1,2,ED,Bushnell,_
26/03/2015,AFV11,1,2,ED,Bushnell,_
27/03/2015,AFV11,1,2,ED,Bushnell,_
28/03/2015,AFV11,1,2,ED,Bushnell,_
29/03/2015,AFV11,1,2,ED,Bushnell,_
30/03/2015,AFV11,1,2,ED,Bushnell,_
31/03/2015,AFV11,1,2,ED,Bushnell,_
01/04/2015,AFV11,1,2,ED,Bushnell,_
02/04/2015,AFV11,1,2,ED,Bushnell,_
03/04/2015,AFV11,1,2,ED,Bushnell,_
04/04/2015,AFV11,1,2,ED,Bushnell,_
05/04/2015,AFV11,1,2,ED,Bushnell,_
06/04/2015,AFV11,1,2,ED,Bushnell,_
07/04/2015,AFV11,1,2,ED,Bushnell,_
08/04/2015,AFV11,1,2,ED,Bushnell,_
09/04/2015,AFV11,1,2,ED,Bushnell,_
10/04/2015,AFV11,1,2,ED,Bushnell,_
11/04/2015,AFV11,1,2,ED,Bushnell,_
12/04/2015,AFV11,1,2,ED,Bushnell,_
13/04/2015,AFV11,1,2,ED,Bushnell,_
13/03/2015,AFV12,1,2,ED,Bushnell,_
14/03/2015,AFV12,1,2,ED,Bushnell,_
15/03/2015,AFV12,1,2,ED,Bushnell,_
16/03/2015,AFV12,1,2,ED,Bushnell,_
17/03/2015,AFV12,1,2,ED,Bushnell,_
18/03/2015,AFV12,1,2,ED,Bushnell,_
19/03/2015,AFV12,1,2,ED,Bushnell,_
20/03/2015,AFV12,1,2,ED,Bushnell,_
21/03/2015,AFV12,1,2,ED,Bushnell,_
22/03/2015,AFV12,1,2,ED,Bushnell,_
23/03/2015,AFV12,1,2,ED,Bushnell,_
24/03/2015,AFV12,1,2,ED,Bushnell,_
25/03/2015,AFV12,1,2,ED,Bushnell,
26/03/2015,AFV12,1,2,ED,Bushnell,
27/03/2015,AFV12,1,2,ED,Bushnell,
28/03/2015,AFV12,1,2,ED,Bushnell,
29/03/2015,AFV12,1,2,ED,Bushnell,
30/03/2015,AFV12,1,2,ED,Bushnell,
31/03/2015,AFV12,1,2,ED,Bushnell,
01/04/2015,AFV12,1,2,ED,Bushnell,
02/04/2015,AFV12,1,2,ED,Bushnell,
03/04/2015,AFV12,1,2,ED,Bushnell,
04/04/2015,AFV12,1,2,ED,Bushnell,
05/04/2015,AFV12,1,2,ED,Bushnell,
06/04/2015,AFV12,1,2,ED,Bushnell,
07/04/2015,AFV12,1,2,ED,Bushnell,
08/04/2015,AFV12,1,2,ED,Bushnell,
09/04/2015,AFV12,1,2,ED,Bushnell,
10/04/2015,AFV12,1,2,ED,Bushnell,
11/04/2015,AFV12,1,2,ED,Bushnell,
12/04/2015,AFV12,1,2,ED,Bushnell,
13/04/2015,AFV12,1,2,ED,Bushnell,
13/03/2015,AFV13,1,1,E,Bushnell,_
14/03/2015,AFV13,1,1,E,Bushnell,_
15/03/2015,AFV13,1,1,E,Bushnell,_
16/03/2015,AFV13,1,1,E,Bushnell,_
17/03/2015,AFV13,1,1,E,Bushnell,_
18/03/2015,AFV13,1,1,E,Bushnell,_
19/03/2015,AFV13,1,1,E,Bushnell,_
20/03/2015,AFV13,1,2,ED,Bushnell,_
21/03/2015,AFV13,1,2,ED,Bushnell,_
22/03/2015,AFV13,1,2,ED,Bushnell,_
23/03/2015,AFV13,1,2,ED,Bushnell,_
24/03/2015,AFV13,1,2,ED,Bushnell,_
25/03/2015,AFV13,1,2,ED,Bushnell,_
26/03/2015,AFV13,1,2,ED,Bushnell,_
27/03/2015,AFV13,1,2,ED,Bushnell,_
28/03/2015,AFV13,1,2,ED,Bushnell,_
29/03/2015,AFV13,1,2,ED,Bushnell,_
30/03/2015,AFV13,1,2,ED,Bushnell,_
31/03/2015,AFV13,1,2,ED,Bushnell,_
01/04/2015,AFV13,1,2,ED,Bushnell,_
02/04/2015,AFV13,1,2,ED,Bushnell,_
03/04/2015,AFV13,1,2,ED,Bushnell,_
04/04/2015,AFV13,1,2,ED,Bushnell,_
05/04/2015,AFV13,1,2,ED,Bushnell,_
06/04/2015,AFV13,1,2,ED,Bushnell,_
07/04/2015,AFV13,1,2,ED,Bushnell,_
08/04/2015,AFV13,1,2,ED,Bushnell,_
09/04/2015,AFV13,1,2,ED,Bushnell,_
10/04/2015,AFV13,1,2,ED,Bushnell,_
11/04/2015,AFV13,1,2,ED,Bushnell,_
12/04/2015,AFV13,1,2,ED,Bushnell,_
13/04/2015,AFV13,1,2,ED,Bushnell,_
13/03/2015,AFV14,1,2,ED,Bushnell,_
14/03/2015,AFV14,1,2,ED,Bushnell,_
15/03/2015,AFV14,1,2,ED,Bushnell,_
16/03/2015,AFV14,1,2,ED,Bushnell,_
17/03/2015,AFV14,1,2,ED,Bushnell,_
18/03/2015,AFV14,1,2,ED,Bushnell,_
19/03/2015,AFV14,1,2,ED,Bushnell,_
20/03/2015,AFV14,1,2,ED,Bushnell,_
21/03/2015,AFV14,1,2,ED,Bushnell,_
22/03/2015,AFV14,1,2,ED,Bushnell,_
23/03/2015,AFV14,1,2,ED,Bushnell,_
24/03/2015,AFV14,1,2,ED,Bushnell,_
25/03/2015,AFV14,1,2,ED,Bushnell,_
26/03/2015,AFV14,1,2,ED,Bushnell,_
27/03/2015,AFV14,1,2,ED,Bushnell,_
28/03/2015,AFV14,1,2,ED,Bushnell,_
29/03/2015,AFV14,1,2,ED,Bushnell,_
30/03/2015,AFV14,1,2,ED,Bushnell,_
31/03/2015,AFV14,1,2,ED,Bushnell,_
01/04/2015,AFV14,1,2,ED,Bushnell,_
02/04/2015,AFV14,1,2,ED,Bushnell,_
03/04/2015,AFV14,1,2,ED,Bushnell,_
04/04/2015,AFV14,1,2,ED,Bushnell,_
05/04/2015,AFV14,1,2,ED,Bushnell,_
06/04/2015,AFV14,1,2,ED,Bushnell,_
07/04/2015,AFV14,1,2,ED,Bushnell,_
08/04/2015,AFV14,1,2,ED,Bushnell,_
09/04/2015,AFV14,1,2,ED,Bushnell,_
10/04/2015,AFV14,1,2,ED,Bushnell,_
11/04/2015,AFV14,1,2,ED,Bushnell,_
12/04/2015,AFV14,1,2,ED,Bushnell,_
13/04/2015,AFV14,1,2,ED,Bushnell,_
13/03/2015,AFV15,1,2,ED,Bushnell,camera D com visor bloqueado
14/03/2015,AFV15,1,2,ED,Bushnell,camera D com visor bloqueado
15/03/2015,AFV15,1,2,ED,Bushnell,camera D com visor bloqueado
16/03/2015,AFV15,1,2,ED,Bushnell,camera D com visor bloqueado
17/03/2015,AFV15,1,2,ED,Bushnell,camera D com visor bloqueado
18/03/2015,AFV15,1,2,ED,Bushnell,camera D com visor bloqueado
19/03/2015,AFV15,1,2,ED,Bushnell,camera D com visor bloqueado
